date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:16:07	122/122	---MC-	200	added ('OK')	text/plain	date:Thu,%2025%20Apr%202024%2010:46:06%20GMT	https://integrio.wgl-demo.net/robots.txt		(from )
16:16:08	251940/251940	---MCZ	200	added ('OK')	text/html	date:Mon,%2008%20Apr%202024%2004:39:41%20GMT	https://integrio.wgl-demo.net/home-4/	C:/My%20Web%20Sites/Connect/integrio.wgl-demo.net/home-4/index.html	(from )
16:16:09	287/287	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2025%20Apr%202024%2010:46:08%20GMT	http://integrio.wgl-demo.net/wp-content/cache/wpfc-minified/k26jrdx1/bpurw.css	C:/My%20Web%20Sites/Connect/integrio.wgl-demo.net/wp-content/cache/wpfc-minified/k26jrdx1/bpurw.0.delayed	(from https://integrio.wgl-demo.net/home-4/)
16:16:10	287/287	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2025%20Apr%202024%2010:46:09%20GMT	http://integrio.wgl-demo.net/wp-content/cache/wpfc-minified/fhlpha7d/bpurw.css	C:/My%20Web%20Sites/Connect/integrio.wgl-demo.net/wp-content/cache/wpfc-minified/fhlpha7d/bpurw.css	(from https://integrio.wgl-demo.net/home-4/)
16:16:11	2662/2662	---M--	200	added ('OK')	text/css	date:Tue,%2030%20Jan%202024%2016:02:10%20GMT	https://integrio.wgl-demo.net/wp-content/cache/wpfc-minified/fhlpha7d/bpurw.css	C:/My%20Web%20Sites/Connect/integrio.wgl-demo.net/wp-content/cache/wpfc-minified/fhlpha7d/bpurw.css	(from https://integrio.wgl-demo.net/home-4/)
16:16:13	287/287	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2025%20Apr%202024%2010:46:11%20GMT	http://integrio.wgl-demo.net/wp-content/cache/wpfc-minified/9j2zns32/bpurw.css	C:/My%20Web%20Sites/Connect/integrio.wgl-demo.net/wp-content/cache/wpfc-minified/9j2zns32/bpurw.css	(from https://integrio.wgl-demo.net/home-4/)
16:16:13	109816/109816	---M--	200	added ('OK')	text/css	date:Tue,%2030%20Jan%202024%2016:02:10%20GMT	https://integrio.wgl-demo.net/wp-content/cache/wpfc-minified/k26jrdx1/bpurw.css	C:/My%20Web%20Sites/Connect/integrio.wgl-demo.net/wp-content/cache/wpfc-minified/k26jrdx1/bpurw.css	(from https://integrio.wgl-demo.net/home-4/)
16:16:14	23771/23771	---M--	200	added ('OK')	text/css	date:Tue,%2030%20Jan%202024%2016:02:10%20GMT	https://integrio.wgl-demo.net/wp-content/cache/wpfc-minified/9j2zns32/bpurw.css	C:/My%20Web%20Sites/Connect/integrio.wgl-demo.net/wp-content/cache/wpfc-minified/9j2zns32/bpurw.css	(from https://integrio.wgl-demo.net/home-4/)
16:16:14	287/287	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2025%20Apr%202024%2010:46:13%20GMT	http://integrio.wgl-demo.net/wp-content/cache/wpfc-minified/1zbxx60k/bpurw.css	C:/My%20Web%20Sites/Connect/integrio.wgl-demo.net/wp-content/cache/wpfc-minified/1zbxx60k/bpurw.css	(from https://integrio.wgl-demo.net/home-4/)
16:16:15	7043/7043	---M--	200	added ('OK')	text/css	date:Tue,%2030%20Jan%202024%2016:02:10%20GMT	https://integrio.wgl-demo.net/wp-content/cache/wpfc-minified/1zbxx60k/bpurw.css	C:/My%20Web%20Sites/Connect/integrio.wgl-demo.net/wp-content/cache/wpfc-minified/1zbxx60k/bpurw.css	(from https://integrio.wgl-demo.net/home-4/)
16:16:15	287/287	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2025%20Apr%202024%2010:46:14%20GMT	http://integrio.wgl-demo.net/wp-content/cache/wpfc-minified/mly7vyz3/bpurw.css	C:/My%20Web%20Sites/Connect/integrio.wgl-demo.net/wp-content/cache/wpfc-minified/mly7vyz3/bpurw.css	(from https://integrio.wgl-demo.net/home-4/)
16:16:16	287/287	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2025%20Apr%202024%2010:46:15%20GMT	http://integrio.wgl-demo.net/wp-content/cache/wpfc-minified/ml917vel/bpurw.css	C:/My%20Web%20Sites/Connect/integrio.wgl-demo.net/wp-content/cache/wpfc-minified/ml917vel/bpurw.css	(from https://integrio.wgl-demo.net/home-4/)
